1,0,0,0,5973,4,127,157
1,0,0,0,5973,6,239,200
0,1,0,0,1041,7,9,12
0,1,0,0,55476,9,16,755
0,1,0,0,22513,9,16,159
0,1,0,0,63204,6,90,1263
0,1,0,0,97380,9,16,1163
0,1,0,0,7538,1,5,135
1,0,0,0,120001,1,7,602
0,1,0,0,51136,7,9,532
0,1,0,0,75630,7,9,1136
0,1,0,0,83682,1,95,1694
0,1,0,0,112490,1,95,2684
0,1,0,0,21587,9,16,313
0,1,0,0,77298,6,58,1786
0,1,0,0,285,1,22,9
0,1,0,0,6863,4,60,149
0,1,0,0,82853,1,95,2099
0,1,0,0,110469,2,238,2509
0,1,0,0,1727,7,294,145
0,1,0,0,21569,1,95,381
0,1,0,0,4294,6,212,186
0,1,0,0,4588,7,139,187
1,0,0,0,1193,1,12,44
1,0,0,0,113,5,235,5
0,1,0,0,56811,2,175,1765
0,0,1,0,233,1,6,24
0,1,0,0,29993,5,23,382
0,1,0,0,607,1,6,16
0,1,0,0,5946,1,60,118
0,1,0,0,60000,1,8,2138
0,1,0,0,50000,1,18,2184
0,1,0,0,2383,7,294,126
1,0,0,0,53669,1,12,786
1,0,0,0,6687,6,239,282
0,0,0,1,184988,7,426,9623
0,1,0,0,4350,2,87,208
0,1,0,0,68890,2,265,2009
0,1,0,0,40172,8,296,1882
0,1,0,0,30288,7,32,884
0,1,0,0,26779,6,134,690
0,1,0,0,83708,2,2,1214
0,0,1,0,133,3,33,118
0,0,1,0,4053,1,29,102
0,1,0,0,807,1,26,34
0,0,0,1,140183,7,426,6604
0,1,0,0,779,1,5,40
0,1,0,0,2101,11,14,41
0,0,1,0,4088,1,29,311
0,0,1,0,2082,1,29,103
0,0,1,0,778,2,22,843
0,1,0,0,76069,2,9,306
1,0,0,0,53749,8,292,1881
0,1,0,0,81888,2,9,1441
0,1,0,0,80554,2,25,941
0,1,0,0,162,2,9,3
0,1,0,0,55,1,32,7
0,1,0,0,8146,3,26,94
0,1,0,0,75741,1,1,1511
0,1,0,0,3648,1,29,169
0,1,0,0,7821,1,31,190
0,1,0,0,1078,1,25,43
0,1,0,0,7810,3,26,284
0,1,0,0,7821,1,14,217
0,1,0,0,87516,1,95,1149
0,1,0,0,8146,3,26,208
0,1,0,0,193,2,12,4
0,1,0,0,179,2,3,5
0,1,0,0,2350,2,35,146
1,0,0,0,52023,1,12,773
0,1,0,0,28318,6,134,422
0,1,0,0,37283,8,296,817
0,1,0,0,52,1,7,3
0,1,0,0,199,1,3,9
0,1,0,0,193,1,3,4
0,1,0,0,915,6,238,130
0,1,0,0,61,5,272,8
0,1,0,0,451,2,87,9
0,1,0,0,6294,1,6,53
0,1,0,0,1784,1,22,11
0,1,0,0,85504,4,16,983
0,0,0,1,126776,6,90,4943
0,1,0,0,1796,1,24,33
0,1,0,0,199,1,24,7
0,1,0,0,131,1,24,4
0,1,0,0,6644,1,6,104
0,0,1,0,3611,1,69,336
0,1,0,0,64636,7,9,673
0,1,0,0,663,7,9,29
0,1,0,0,55209,9,16,773
0,1,0,0,116048,9,16,1099
0,1,0,0,102964,9,16,1627
0,1,0,0,118867,9,16,1418
0,1,0,0,13702,3,40,227
0,1,0,0,83708,2,7,669
1,0,0,0,6593,5,273,145
0,1,0,0,65875,7,9,272
0,1,0,0,23573,9,16,231
0,1,0,0,2363,9,16,59
0,1,0,0,4950,9,16,117
0,1,0,0,99194,2,175,3215
0,1,0,0,75797,2,175,2815
0,0,1,0,246,1,4,170
0,1,0,0,64,1,52,233
0,0,1,0,852,1,15,977
0,1,0,0,7431,2,93,923
0,1,0,0,30517,3,31,662
0,1,0,0,2850,2,10,72
0,1,0,0,1124,1,16,31
0,1,0,0,30517,1,29,483
0,1,0,0,1124,1,16,12
0,0,1,0,305,2,4,4
0,1,0,0,1,2,10,1
0,0,1,0,2676,1,35,187
0,1,0,0,87320,4,6,1406
0,1,0,0,6117,1,22,113
0,1,0,0,1373,1,28,25
0,1,0,0,692,1,55,665
0,1,0,0,1404,1,8,35
0,1,0,0,100094,9,16,1876
0,1,0,0,2167,7,294,157
0,1,0,0,2039,7,294,235
0,1,0,0,6917,1,4,119
0,1,0,0,6917,1,4,106
